Info: *******************************************************************
Info: Running Quartus Prime Timing Analyzer
    Info: Version 20.1.1 Build 720 11/11/2020 SJ Standard Edition
    Info: Copyright (C) 2020  Intel Corporation. All rights reserved.
    Info: Your use of Intel Corporation's design tools, logic functions 
    Info: and other software and tools, and any partner logic 
    Info: functions, and any output files from any of the foregoing 
    Info: (including device programming or simulation files), and any 
    Info: associated documentation or information are expressly subject 
    Info: to the terms and conditions of the Intel Program License 
    Info: Subscription Agreement, the Intel Quartus Prime License Agreement,
    Info: the Intel FPGA IP License Agreement, or other applicable license
    Info: agreement, including, without limitation, that your use is for
    Info: the sole purpose of programming logic devices manufactured by
    Info: Intel and sold by Intel or its authorized distributors.  Please
    Info: refer to the applicable agreement for further details, at
    Info: https://fpgasoftware.intel.com/eula.
    Info: Processing started: Mon Apr 28 16:17:27 2025
Info: Command: quartus_sta --sdc=toolflow.sdc toolflow --do_report_timing
Info: qsta_default_script.tcl version: #1
Warning (18236): Number of processors has not been specified which may cause overloading on shared machines.  Set the global assignment NUM_PARALLEL_PROCESSORS in your QSF to an appropriate value for best performance.
Info (20030): Parallel compilation is enabled and will use 12 of the 12 processors detected
Info (21076): High junction temperature operating condition is not set. Assuming a default value of '85'.
Info (21076): Low junction temperature operating condition is not set. Assuming a default value of '0'.
Info (332104): Reading SDC File: 'toolflow.sdc'
Info: Found TIMING_ANALYZER_REPORT_SCRIPT_INCLUDE_DEFAULT_ANALYSIS = ON
Info: Analyzing Slow 1200mV 85C Model
Critical Warning (332148): Timing requirements not met
    Info (11105): For recommendations on closing timing, run Report Timing Closure Recommendations in the Timing Analyzer.
Info (332146): Worst-case setup slack is -1.112
    Info (332119):     Slack       End Point TNS Clock 
    Info (332119): ========= =================== =====================
    Info (332119):    -1.112              -4.536 iCLK 
Info (332146): Worst-case hold slack is 0.407
    Info (332119):     Slack       End Point TNS Clock 
    Info (332119): ========= =================== =====================
    Info (332119):     0.407               0.000 iCLK 
Info (332146): Worst-case recovery slack is 0.848
    Info (332119):     Slack       End Point TNS Clock 
    Info (332119): ========= =================== =====================
    Info (332119):     0.848               0.000 iCLK 
Info (332146): Worst-case removal slack is 1.790
    Info (332119):     Slack       End Point TNS Clock 
    Info (332119): ========= =================== =====================
    Info (332119):     1.790               0.000 iCLK 
Info (332146): Worst-case minimum pulse width slack is 9.624
    Info (332119):     Slack       End Point TNS Clock 
    Info (332119): ========= =================== =====================
    Info (332119):     9.624               0.000 iCLK 
Info (332114): Report Metastability: Found 2 synchronizer chains.
    Info (332114): The design MTBF is not calculated because there are no specified synchronizers in the design.
    Info (332114): Number of Synchronizer Chains Found: 2
    Info (332114): Shortest Synchronizer Chain: 2 Registers
    Info (332114): Fraction of Chains for which MTBFs Could Not be Calculated: 1.000
    Info (332114): Worst Case Available Settling Time: 37.352 ns
Info (332115): Report Timing: Found 1 setup paths (1 violated).  Worst case slack is -1.112
    Info (332115): -to_clock [get_clocks {iCLK}]
    Info (332115): -setup
    Info (332115): -stdout
Info (332115): Path #1: Setup slack is -1.112 (VIOLATED)
    Info (332115): ===================================================================
    Info (332115): From Node    : mem:DMem|altsyncram:ram_rtl_0|altsyncram_eg81:auto_generated|ram_block1a0~porta_we_reg
    Info (332115): To Node      : Pipeline_EX_MEM:EX_MEM_reg|reg_N:ALUout|dffg:\n_loop:31:d_flip_flop|s_Q
    Info (332115): Launch Clock : iCLK
    Info (332115): Latch Clock  : iCLK
    Info (332115): Data Arrival Path:
    Info (332115): Total (ns)  Incr (ns)     Type  Element
    Info (332115): ==========  ========= ==  ====  ===================================
    Info (332115):      0.000      0.000           launch edge time
    Info (332115):      3.430      3.430  R        clock network delay
    Info (332115):      3.693      0.263     uTco  mem:DMem|altsyncram:ram_rtl_0|altsyncram_eg81:auto_generated|ram_block1a0~porta_we_reg
    Info (332115):      6.542      2.849 RF  CELL  DMem|ram_rtl_0|auto_generated|ram_block1a0|portadataout[4]
    Info (332115):      7.661      1.119 FF    IC  memToRegMux|o_O~4|dataa
    Info (332115):      8.085      0.424 FF  CELL  memToRegMux|o_O~4|combout
    Info (332115):      8.336      0.251 FF    IC  luiMux|o_O[0]~8|datad
    Info (332115):      8.461      0.125 FF  CELL  luiMux|o_O[0]~8|combout
    Info (332115):      8.723      0.262 FF    IC  ForwardAandStall|\G_NBit_MUX:0:MUXI|o_O~0|datad
    Info (332115):      8.848      0.125 FF  CELL  ForwardAandStall|\G_NBit_MUX:0:MUXI|o_O~0|combout
    Info (332115):      9.080      0.232 FF    IC  ForwardAandStall|\G_NBit_MUX:0:MUXI|o_O|datac
    Info (332115):      9.361      0.281 FF  CELL  ForwardAandStall|\G_NBit_MUX:0:MUXI|o_O|combout
    Info (332115):     10.282      0.921 FF    IC  ALU|adder|adder|\N_loop:0:full_add|o_C~0|datac
    Info (332115):     10.563      0.281 FF  CELL  ALU|adder|adder|\N_loop:0:full_add|o_C~0|combout
    Info (332115):     10.830      0.267 FF    IC  ALU|adder|adder|\N_loop:1:full_add|o_C~0|datab
    Info (332115):     11.255      0.425 FF  CELL  ALU|adder|adder|\N_loop:1:full_add|o_C~0|combout
    Info (332115):     11.507      0.252 FF    IC  ALU|adder|adder|\N_loop:2:full_add|o_C~0|datad
    Info (332115):     11.632      0.125 FF  CELL  ALU|adder|adder|\N_loop:2:full_add|o_C~0|combout
    Info (332115):     11.884      0.252 FF    IC  ALU|adder|adder|\N_loop:3:full_add|o_C~0|datad
    Info (332115):     12.009      0.125 FF  CELL  ALU|adder|adder|\N_loop:3:full_add|o_C~0|combout
    Info (332115):     12.260      0.251 FF    IC  ALU|adder|adder|\N_loop:4:full_add|o_C~0|datad
    Info (332115):     12.385      0.125 FF  CELL  ALU|adder|adder|\N_loop:4:full_add|o_C~0|combout
    Info (332115):     12.634      0.249 FF    IC  ALU|adder|adder|\N_loop:5:full_add|o_C~0|datad
    Info (332115):     12.759      0.125 FF  CELL  ALU|adder|adder|\N_loop:5:full_add|o_C~0|combout
    Info (332115):     13.009      0.250 FF    IC  ALU|adder|adder|\N_loop:6:full_add|o_C~0|datad
    Info (332115):     13.134      0.125 FF  CELL  ALU|adder|adder|\N_loop:6:full_add|o_C~0|combout
    Info (332115):     13.385      0.251 FF    IC  ALU|adder|adder|\N_loop:7:full_add|o_C~0|datad
    Info (332115):     13.510      0.125 FF  CELL  ALU|adder|adder|\N_loop:7:full_add|o_C~0|combout
    Info (332115):     13.765      0.255 FF    IC  ALU|adder|adder|\N_loop:8:full_add|o_C~0|datac
    Info (332115):     14.046      0.281 FF  CELL  ALU|adder|adder|\N_loop:8:full_add|o_C~0|combout
    Info (332115):     14.295      0.249 FF    IC  ALU|adder|adder|\N_loop:9:full_add|o_C~0|datad
    Info (332115):     14.420      0.125 FF  CELL  ALU|adder|adder|\N_loop:9:full_add|o_C~0|combout
    Info (332115):     14.677      0.257 FF    IC  ALU|adder|adder|\N_loop:10:full_add|o_C~0|datac
    Info (332115):     14.958      0.281 FF  CELL  ALU|adder|adder|\N_loop:10:full_add|o_C~0|combout
    Info (332115):     15.213      0.255 FF    IC  ALU|adder|adder|\N_loop:11:full_add|o_C~0|datac
    Info (332115):     15.494      0.281 FF  CELL  ALU|adder|adder|\N_loop:11:full_add|o_C~0|combout
    Info (332115):     15.742      0.248 FF    IC  ALU|adder|adder|\N_loop:12:full_add|o_C~0|datad
    Info (332115):     15.867      0.125 FF  CELL  ALU|adder|adder|\N_loop:12:full_add|o_C~0|combout
    Info (332115):     16.119      0.252 FF    IC  ALU|adder|adder|\N_loop:13:full_add|o_C~0|datad
    Info (332115):     16.244      0.125 FF  CELL  ALU|adder|adder|\N_loop:13:full_add|o_C~0|combout
    Info (332115):     16.499      0.255 FF    IC  ALU|adder|adder|\N_loop:14:full_add|o_C~0|datac
    Info (332115):     16.780      0.281 FF  CELL  ALU|adder|adder|\N_loop:14:full_add|o_C~0|combout
    Info (332115):     17.030      0.250 FF    IC  ALU|adder|adder|\N_loop:15:full_add|o_C~0|datad
    Info (332115):     17.155      0.125 FF  CELL  ALU|adder|adder|\N_loop:15:full_add|o_C~0|combout
    Info (332115):     17.544      0.389 FF    IC  ALU|adder|adder|\N_loop:16:full_add|o_C~0|datad
    Info (332115):     17.669      0.125 FF  CELL  ALU|adder|adder|\N_loop:16:full_add|o_C~0|combout
    Info (332115):     17.909      0.240 FF    IC  ALU|adder|adder|\N_loop:17:full_add|o_C~0|datad
    Info (332115):     18.034      0.125 FF  CELL  ALU|adder|adder|\N_loop:17:full_add|o_C~0|combout
    Info (332115):     18.454      0.420 FF    IC  ALU|adder|adder|\N_loop:18:full_add|o_C~0|datad
    Info (332115):     18.579      0.125 FF  CELL  ALU|adder|adder|\N_loop:18:full_add|o_C~0|combout
    Info (332115):     18.833      0.254 FF    IC  ALU|adder|adder|\N_loop:19:full_add|o_C~0|datac
    Info (332115):     19.114      0.281 FF  CELL  ALU|adder|adder|\N_loop:19:full_add|o_C~0|combout
